freq=240.00Hz 
type, time, id, pos_x, pos_y, pos_z, rot_w, rot_x, rot_y, rot_z, cond
C, 0, 0, 178.065643, 759.104797, 2603.859863, -0.994939, 0.094057, 0.035144, 0.003776, 2.00
C, 0, 1, 2209.087646, 827.435181, 2553.929443, -0.882382, 0.046254, -0.464525, -0.058980, 2.00
C, 0, 2, 2316.799561, 1203.556763, 551.541626, 0.696017, -0.066137, 0.710219, 0.082313, 2.00
C, 0, 3, 1889.508301, 790.439209, -825.294006, 0.495797, -0.030063, 0.867780, 0.015494, 2.00
C, 0, 4, -516.141602, 609.517273, -582.695129, -0.321782, 0.032585, 0.944790, 0.052606, 2.00
C, 0, 5, -1019.264648, 2354.094482, 2980.527832, 0.123937, -0.300796, 0.271623, 0.905750, 2.00
C, 0, 6, -1164.560425, 2395.938965, 2256.922607, 0.099638, -0.354157, 0.329196, 0.869641, 2.00
C, 0, 7, -1331.672607, 2365.531738, 761.646729, 0.267477, -0.624951, 0.360686, 0.638591, 2.00
C, 0, 8, 573.866455, 2136.260010, 3045.684326, 0.009257, 0.058555, 0.338211, 0.939201, 2.00
C, 0, 9, 2249.546387, 2147.759521, 2950.133301, -0.087261, 0.298226, 0.187649, 0.931791, 2.00
C, 0, 10, 2177.780762, 2348.043945, 1746.813721, -0.317099, 0.551869, 0.223403, 0.738228, 2.00
C, 0, 11, 2392.301025, 2428.475830, 634.532776, -0.214304, 0.689202, 0.214359, 0.658123, 2.00
C, 0, 12, 2118.519287, 2354.380127, -1130.604858, -0.350304, 0.887814, 0.071671, 0.289719, 2.00
C, 0, 13, 1434.393188, 2372.647217, -1471.837891, -0.266744, 0.960786, 0.075612, 0.004522, 2.00
C, 0, 14, 491.091400, 2171.008057, -1234.958130, -0.326333, 0.938197, -0.115156, 0.005766, 2.00
C, 0, 15, -569.042908, 2405.603027, -1215.872681, -0.219683, 0.950494, -0.149639, -0.160965, 2.00
C, 0, 16, -1500.925903, 2123.554199, -1208.267578, -0.139339, 0.890898, -0.060261, -0.428082, 2.00
M, 508187500, 0, -2017.596069, 746.316406, 1203.882202, 1, 0, 0, 0, 26.42
M, 508191667, 0, -2017.437622, 746.671753, 1203.684326, 1, 0, 0, 0, 26.42
M, 508195833, 0, -2017.534424, 746.926880, 1203.550537, 1, 0, 0, 0, 26.42
M, 508200000, 0, -2017.875977, 747.165039, 1203.284668, 1, 0, 0, 0, 26.42
M, 508204167, 0, -2017.893433, 747.477234, 1203.062012, 1, 0, 0, 0, 26.42
M, 508208333, 0, -2017.630981, 747.935730, 1202.943604, 1, 0, 0, 0, 22.12
M, 508212500, 0, -2017.544434, 748.273560, 1202.812866, 1, 0, 0, 0, 22.12
M, 508216667, 0, -2017.640503, 748.605347, 1202.640015, 1, 0, 0, 0, 22.12
M, 508220833, 0, -2017.591064, 749.059753, 1202.484131, 1, 0, 0, 0, 22.12
M, 508225000, 0, -2017.722046, 749.342407, 1202.274658, 1, 0, 0, 0, 26.42
M, 508229167, 0, -2018.028564, 749.753052, 1202.056885, 1, 0, 0, 0, 26.42
M, 508233333, 0, -2018.200806, 750.220825, 1201.832397, 1, 0, 0, 0, 26.42
M, 508237500, 0, -2018.231689, 750.721863, 1201.684448, 1, 0, 0, 0, 30.10
M, 508241667, 0, -2018.392212, 751.190979, 1201.498901, 1, 0, 0, 0, 26.42
M, 508245833, 0, -2018.327148, 751.742798, 1201.315430, 1, 0, 0, 0, 26.42
M, 508250000, 0, -2018.427002, 752.306519, 1201.237183, 1, 0, 0, 0, 22.12
M, 508254167, 0, -2018.362427, 752.837708, 1201.140991, 1, 0, 0, 0, 22.12
M, 508258333, 0, -2018.230103, 753.534729, 1201.100098, 1, 0, 0, 0, 22.12
M, 508262500, 0, -2017.879639, 754.185486, 1201.088623, 1, 0, 0, 0, 22.12
M, 508266667, 0, -2017.792603, 754.882874, 1200.982178, 1, 0, 0, 0, 22.12
M, 508270833, 0, -2017.794189, 755.634277, 1200.911133, 1, 0, 0, 0, 22.12
M, 508275000, 0, -2017.311646, 756.435242, 1200.898560, 1, 0, 0, 0, 22.11
M, 508279167, 0, -2017.142212, 757.145386, 1200.765503, 1, 0, 0, 0, 22.11
M, 508283333, 0, -2016.756836, 757.989746, 1200.713135, 1, 0, 0, 0, 22.11
M, 508287500, 0, -2016.466919, 758.809753, 1200.633911, 1, 0, 0, 0, 26.41
M, 508291667, 0, -2016.616943, 759.435730, 1200.317505, 1, 0, 0, 0, 26.41
M, 508295833, 0, -2016.527954, 760.145630, 1200.085083, 1, 0, 0, 0, 26.40
M, 508300000, 0, -2016.526611, 760.935364, 1199.885254, 1, 0, 0, 0, 26.40
M, 508304167, 0, -2016.377563, 761.801453, 1199.757690, 1, 0, 0, 0, 22.10
M, 508308333, 0, -2015.415771, 762.845337, 1199.766357, 1, 0, 0, 0, 22.50
M, 508312500, 0, -2014.801392, 763.953735, 1199.658081, 1, 0, 0, 0, 22.49
M, 508316667, 0, -2014.391724, 764.840942, 1199.449341, 1, 0, 0, 0, 22.49
M, 508320833, 0, -2013.724731, 765.914490, 1199.369263, 1, 0, 0, 0, 22.49
M, 508325000, 0, -2012.997070, 767.036377, 1199.258911, 1, 0, 0, 0, 22.48
M, 508329167, 0, -2012.193604, 768.153259, 1199.126099, 1, 0, 0, 0, 21.05
M, 508333333, 0, -2011.206787, 769.355103, 1198.941895, 1, 0, 0, 0, 21.05
M, 508337500, 0, -2010.416870, 770.544739, 1198.847290, 1, 0, 0, 0, 21.04
M, 508341667, 0, -2009.706665, 771.677307, 1198.681396, 1, 0, 0, 0, 21.04
M, 508345833, 0, -2008.898315, 772.852356, 1198.478882, 1, 0, 0, 0, 21.03
M, 508350000, 0, -2008.009521, 773.997009, 1198.366211, 1, 0, 0, 0, 22.45
M, 508354167, 0, -2007.182983, 775.176819, 1198.189697, 1, 0, 0, 0, 22.44
M, 508358333, 0, -2006.588135, 776.286438, 1197.966064, 1, 0, 0, 0, 22.43
M, 508362500, 0, -2005.697876, 777.526428, 1197.773438, 1, 0, 0, 0, 22.42
