left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z,left_heel_x,left_heel_y,left_heel_z,right_heel_x,right_heel_y,right_heel_z,left_foot_index_x,left_foot_index_y,left_foot_index_z,right_foot_index_x,right_foot_index_y,right_foot_index_z,Time,speed_left_ankle_x
1054.713207,1054.713443,1054.713115,995.4473993,995.447698,995.4473379,919.1749321,919.1753076,919.1747602,827.287203,827.2875333,827.2870759,748.4640552,748.464533,748.4637428,681.0819613,681.0823415,681.0817773,726.9493808,726.9498653,726.9490486,670.7812207,670.7816042,670.7810253,673.342137,673.3426004,673.3418199,600.8711909,600.8715715,600.8709888,0.03443328550932568,
1054.713309,1054.713302,1054.713319,995.4475276,995.4475151,995.4475335,919.1750367,919.1750319,919.1750467,827.2873046,827.2872984,827.2873147,748.4641369,748.4641083,748.4641812,681.0820749,681.0820512,681.0820986,726.9494534,726.9494296,726.9495011,670.7813358,670.7813083,670.7813608,673.3422241,673.3421966,673.3422638,600.8712957,600.871272,600.8713146,0.06886657101865136,0.0023727041669493096
1054.713529,1054.713,1054.713737,995.4477988,995.4471288,995.4479376,919.1752687,919.1744303,919.1756553,827.287535,827.2867968,827.2878218,748.4643263,748.4632517,748.4650376,681.0823187,681.0814634,681.0827369,726.94963,726.9485422,726.9503867,670.7815826,670.7807186,670.7820267,673.3424183,673.3413761,673.3431386,600.8715196,600.8706633,600.8719764,0.10329985652797705,0.0055004916686272045
1054.713376,1054.713212,1054.713425,995.4476044,995.4474061,995.447638,919.1751139,919.1748417,919.1752221,827.2873864,827.287151,827.2874606,748.4642083,748.4639093,748.4643494,681.0821479,681.0819118,681.082236,726.9495279,726.9492137,726.949677,670.7814096,670.7811793,670.7815036,673.3422898,673.3419994,673.3424445,600.8713615,600.8711253,600.8714737,0.13773314203730272,-0.0034269166679195004
1054.712833,1054.713958,1054.712388,995.4469343,995.4483608,995.4466363,919.1745446,919.1763213,919.1737194,827.2868226,827.2883886,827.2862084,748.4637461,748.4660404,748.4622085,681.0815466,681.0833734,681.0806444,726.9490998,726.9514183,726.9474636,670.7808009,670.7826491,670.7798429,673.3418135,673.3440384,673.3402603,600.8708092,600.8726381,600.8698288,0.1721664275466284,-0.013423058333780586
1054.712992,1054.713736,1054.712733,995.4471414,995.4480648,995.4469659,919.1746974,919.1759039,919.1741777,827.2869636,827.2880169,827.2865909,748.4638533,748.4652939,748.4630197,681.0817245,681.0828672,681.0812235,726.9491829,726.9506657,726.9482983,670.7809812,670.7821183,670.7804483,673.3419393,673.3433374,673.3410702,600.8709751,600.8721188,600.8703942,0.2065997130559541,0.003113266666730395
1054.714255,1054.712,1054.715161,995.4487048,995.4458372,995.4493098,919.1760179,919.1724651,919.1776819,827.2882678,827.285133,827.289511,748.4649196,748.4602922,748.4680653,681.0831247,681.0794387,681.0849666,726.9501651,726.9454979,726.9535134,670.7823986,670.7786632,670.7843542,673.3430433,673.3385561,673.3462118,600.8722623,600.8685719,600.8742512,0.24103299856527977,0.030967129168052082
1054.714329,1054.711908,1054.715212,995.448771,995.4457449,995.4493663,919.1761231,919.1722348,919.1778429,827.2883938,827.2849881,827.2896441,748.4650405,748.4602678,748.4679601,681.0832007,681.0794098,681.0849391,726.9503114,726.9454312,726.953413,670.7824754,670.7786801,670.784323,673.3431356,673.3385048,673.3461421,600.8723268,600.8685321,600.8742928,0.27546628407460544,0.0035111374987290378
1054.711538,1054.715746,1054.709817,995.4453087,995.4506789,995.444161,919.1732153,919.1798218,919.1700871,827.2855294,827.291367,827.2831804,748.4627048,748.4714077,748.4566787,681.0801057,681.0870418,681.076587,726.9481715,726.956927,726.9417555,670.7793419,670.7863868,670.7756068,673.340706,673.3491444,673.3346585,600.8694797,600.8764242,600.8657101,0.3098995695839311,-0.06783262083342835
1054.710431,1054.717247,1054.707882,995.4439925,995.4525498,995.4422784,919.1719995,919.1828957,919.1671105,827.2842818,827.2938428,827.2807023,748.461647,748.4752219,748.4531056,681.0788915,681.089682,681.0738294,726.9471233,726.9609557,726.9380447,670.7781133,670.7889502,670.7727345,673.3396802,673.3528497,673.3309382,600.868375,600.8791766,600.8627207,0.3443328550932568,-0.030720275000357834
